"id";"fecha";"importe";"tipoPago";"concepto";"polizas.id";"companias.id";"nroRecibo";"fechaVencimiento"
4684;12/5/2010 00:00:00;434,36;"P";"CUOTA 6";1384;;6;
4685;10/12/2009 00:00:00;262,35;"P";"CUOTA 3";1341;;3;
4686;10/2/2010 00:00:00;262,35;"P";"CUOTA 4";1341;;4;
4687;5/3/2010 00:00:00;262,35;"P";"CUOTA 6";1341;;6;
4688;8/5/2010 00:00:00;271,47;"P";"cuota 6";1442;;6;
4689;10/3/2010 00:00:00;255,58;"P";"CUOTA 2";1560;;2;
4690;9/4/2010 00:00:00;255,55;"P";"CUOTA 3";1560;;3;
4691;7/5/2010 00:00:00;255,55;"P";"CUOTA 4";1560;;4;
4692;7/5/2010 00:00:00;240,36;"P";"CUOTA 3";1594;;3;
4693;10/2/2010 00:00:00;287,73;"P";"CUOTA 3";1444;;3;
4694;16/2/2010 00:00:00;287,73;"P";"CUOTA 4";1444;;4;
4695;13/5/2010 00:00:00;287,73;"P";"CUOTA 5";1444;;5;
4697;11/5/2010 00:00:00;166,00;"P";"CUOTA 8";1404;;8;
4698;17/4/2010 00:00:00;120,00;"P";"CUOTA 1";1758;;1;
4699;17/5/2010 00:00:00;120,00;"P";"CUOTA 2";1758;;2;
4700;17/5/2010 00:00:00;5,53;"P";"CUOTA 1";1748;;1;
4701;17/5/2010 00:00:00;31,57;"P";"CUOTA 1";1798;;1;
4702;17/5/2010 00:00:00;64,01;"P";"CUOTA 5";1504;;5;
5428;14/9/2010 00:00:00;126,00;"P";"CUOTA 4";1880;;4;
4703;17/5/2010 00:00:00;117,58;"P";"CUOTA 5";1505;;5;
4704;22/4/2010 00:00:00;138,63;"P";"CUOTA 5";1447;;5;
4705;12/5/2010 00:00:00;138,60;"P";"CUOTA 6";1447;;6;
4706;11/5/2010 00:00:00;59,88;"P";"CUOTA 10";1278;;10;
4707;18/5/2010 00:00:00;272,10;"C";"LIQ. 13724";;2;;
4708;18/5/2010 00:00:00;3140,00;"C";"LIQ. 14731";;8;;
4709;21/5/2010 00:00:00;124,00;"P";"CUOTA 6";1487;;6;
4711;12/5/2010 00:00:00;249,27;"P";"CUOTA 4";1593;;4;
